,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.1283300639599199,0.11423360998548773,0.11750511651117283,0.09377822867459545,0.07087509600570058,0.08810405537256898,0.0,0.012000845647567137,0.0004912188519090444,0.11340737437908932,0.097668186,0.10085836909871244,0.10605710099369975
energy,0.07705789871011003,0.08725344214316191,0.051612490658625866,0.05666170172777627,0.03980675689348095,0.01633544887593848,0.0,0.009209442104953955,7.914922115186417e-05,0.06044975084584274,0.061746776,0.06473533619456366,0.06964570688912193
key,0.005206554488227507,0.025753243748078365,0.0031112180736080253,0.008387386820554437,0.0,0.07385517266751601,0.0,0.02263804857286328,0.0012097321793747785,0.00503630549244132,0.006243688,0.011087267525035766,0.008853742617326481
loudness,0.07229889545012749,0.0572813428427913,0.027090892251938725,0.06937843506462053,0.07709801368235689,0.21514215203979933,0.0,0.1880401168267587,0.4347555606919009,0.020148183291069106,0.038662247,0.06223175965665236,0.04766173238492822
mode,0.00866691887104819,0.0198958276510402,0.013272171441074936,0.026240016981770427,0.0,0.06965091112680737,0.0,0.008740799260319655,0.0004248828174242154,0.01107437087674384,0.059254512,0.0203862660944206,0.01767411754001258
speechiness,0.058363644207454456,0.042730466534747845,0.07341072944485921,0.07827063915775576,0.03563678698722186,0.005033210947479059,0.0,0.00014385456542512912,0.0,0.06265498503160781,0.045953646,0.1405579399141631,0.07938051771045207
acousticness,0.1426481431899064,0.12422127928997695,0.14024703773619088,0.20092131790602907,0.2565875341283075,0.04472048729774293,0.0,0.011289262816791141,0.0003924112338874522,0.14129164782945874,0.12524222,0.11695278969957082,0.16012954593942197
instrumentalness,0.3201319058785317,0.27046268921551325,0.428979568227598,0.270529730470065,0.2090090384031295,0.13266693065182722,0.0,0.018499607045818427,0.002908555938548457,0.4430865181228034,0.37799424,0.11874105865522175,0.24157834532375064
liveness,0.015005183649921129,0.030277161103371298,0.008064055937397497,0.009148729544147007,0.0,0.011538573716714039,0.0,0.0005714712885515493,2.4694518317297954e-05,0.008217478150587324,0.009593401,0.028969957081545063,0.012572304287641401
valence,0.05273881866776071,0.06884120302647748,0.0383083979499918,0.04552836799653379,0.06291579682984441,0.08308376691569028,0.0,0.012716976920653862,0.000429924008500665,0.036587221448604414,0.03431425,0.11766809728183118,0.06477369485041279
tempo,0.014579620315520472,0.03013623141198094,0.014306225389075125,0.027492958132352613,0.0,0.010083312641910433,0.0,0.6455506702857544,0.009759440531907653,0.018802499783906218,0.017685575,0.031473533619456366,0.02913349889619962
time_signature,0.007101460893220046,0.016651545262653222,0.0037249380916618753,0.007704136847907196,0.0,0.14997514234972453,0.0,0.02436576818949288,-0.00042310401841905414,0.004446852034211236,0.03843109,0.006437768240343348,0.009682150884033396
chorus_hit,0.011953842060620333,0.02697904209690303,0.0060534666238917295,0.010138048173701411,0.0,0.0012701852628136227,0.0,0.031965142146222446,0.04678595931435206,0.009257809022591356,0.007866716,0.027896995708154508,0.010190686689503918
sections,0.02765895858927958,0.03765920578284029,0.008944302796528098,0.01689990458741752,0.011663394283277433,0.09853561632251341,0.0,0.013213148093289764,0.08153660962947272,0.007670611364998103,0.031546116,0.027181688125894134,0.0394505598181769
duration_ms,0.058258091068351954,0.04762370990497613,0.06536938886638552,0.07892039791477369,0.23640758278668095,5.033810954328983e-06,1.0,0.0010548462355377188,0.4216249650816719,0.05786839232604491,0.047797266,0.12482117310443491,0.10321629517531831
